DataPagamento,SalarioBase,SalarioTotal,HorarioTrabalho,Funcionario,Ginasio
2022-01-01,1500.0000,1500.0000,1,1,1
2022-02-01,1500.0000,1500.0000,1,1,1
2022-02-01,1200.0000,1200.0000,2,2,1
2022-03-01,1500.0000,1500.0000,1,1,1
2022-03-01,1200.0000,1200.0000,2,2,1
2022-03-01,900.0000,900.0000,3,3,1
2022-04-01,1500.0000,1500.0000,1,1,1
2022-04-01,1200.0000,1200.0000,2,2,1
2022-04-01,900.0000,900.0000,3,3,1
2022-04-01,1100.0000,1100.0000,1,4,1
2022-05-01,1500.0000,1500.0000,1,1,1
2022-05-01,1200.0000,1200.0000,2,2,1
2022-05-01,900.0000,900.0000,3,3,1
2022-05-01,1100.0000,1100.0000,1,4,1
2022-05-01,1000.0000,1000.0000,2,5,1
2022-06-01,1500.0000,1500.0000,1,1,1
2022-06-01,1200.0000,1200.0000,2,2,1
2022-06-01,900.0000,900.0000,3,3,1
2022-06-01,1100.0000,1100.0000,1,4,1
2022-06-01,1000.0000,1000.0000,2,5,1
2022-06-01,1100.0000,1100.0000,1,6,1
